Date,Course,Chapter,Score,Status
2025-01-12 10:31:57,Web Development,HTML Basics,25.0%,Failed
2025-01-14 19:33:00,Python Programming,Python Basics,50.0%,Passed
2025-01-14 22:03:46,Python Programming,Python Basics,12.5%,Failed
2025-01-14 23:08:59,Python Programming,Python Basics,0.0%,Failed
2025-01-17 11:01:04,Machine Learning,Supervised Learning,60.0%,Passed
2025-01-17 11:01:27,Database,SQL Basics,0.0%,Failed
2025-01-17 15:46:55,Web Development,HTML Basics,25.0%,Failed
2025-01-17 15:50:43,Web Development,HTML Basics,16.67%,Failed
2025-01-17 15:51:00,Cyber Security,Network Security,0.0%,Failed
2025-01-17 15:51:23,Python Programming,Object-Oriented Programming,0.0%,Failed
2025-01-17 15:51:32,Cyber Security,Network Security,0.0%,Failed
2025-01-17 16:35:58,Web Development,HTML Basics,16.67%,Failed
2025-01-17 16:36:23,Python Programming,Python Basics,25.0%,Failed
2025-01-17 17:49:09,Python Programming,Python Basics,0.0%,Failed
2025-01-17 18:49:33,Python Programming,Python Basics,0.0%,Failed
2025-01-17 18:49:52,Cyber Security,Cryptography,12.5%,Failed
2025-01-17 18:51:32,Python Programming,Python Basics,25.0%,Failed
2025-01-17 18:51:57,Database,NoSQL Databases,0.0%,Failed
2025-01-17 18:53:48,Python Programming,Python Basics,12.5%,Failed
2025-01-17 18:54:46,Python Programming,Python Basics,0.0%,Failed
2025-01-17 18:57:11,Python Programming,Python Basics,25.0%,Failed
2025-01-17 18:57:42,Python Programming,Python Basics,25.0%,Failed
2025-01-17 18:58:37,Python Programming,Python Basics,25.0%,Failed
2025-01-17 18:59:38,Python Programming,Libraries and Frameworks,0.0%,Failed
2025-01-17 18:59:49,Python Programming,Libraries and Frameworks,0.0%,Failed
2025-01-17 19:06:55,Python Programming,Libraries and Frameworks,12.5%,Failed
2025-01-17 19:09:26,Cyber Security,Network Security,12.5%,Failed
2025-01-17 19:09:41,Python Programming,Python Basics,0.0%,Failed
2025-01-17 19:10:27,Machine Learning,Supervised Learning,20.0%,Failed
2025-01-17 19:21:08,Cyber Security,Cryptography,0.0%,Failed
2025-01-17 19:21:37,Python Programming,Object-Oriented Programming,0.0%,Failed
2025-01-17 19:35:34,Cyber Security,Network Security,0.0%,Failed
2025-01-17 19:36:35,Python Programming,Python Basics,25.0%,Failed
2025-01-17 19:36:44,Python Programming,Python Basics,25.0%,Failed
